	ID	Label	Area	cm2	Circ	Slice	AR	Round	Solidity	Mean.Green	Mean.Blue	Mean.Red
671	ID_15	0002-0328	41368	6.46375	0.3	1	3.9	0.3	0.8	101.7	53.7	126
672	ID_15	0003-0374	39879	6.23109375	0.3	1	5.1	0.2	0.9	82.6	35.3	149.4
673	ID_15	0004-0415	40765	6.36953125	0.3	1	4.1	0.2	0.8	77.4	78.4	102.5
674	ID_15	0005-0950	38913	6.08015625	0.3	1	3.8	0.3	0.8	75.2	75.2	104.6
675	ID_15	0006-0981	46412	7.251875	0.4	1	3.6	0.3	0.8	84.5	38.4	146.8
676	ID_15	0007-1027	41296	6.4525	0.4	1	4.5	0.2	0.9	88.4	43.1	150
677	ID_15	0008-1045	43843	6.85046875	0.3	1	4.2	0.2	0.8	101.9	51.9	122.3
678	ID_15	0009-1544	35281	5.51265625	0.4	1	4	0.2	0.8	101.2	49.1	124.7
679	ID_15	0010-1633	43923	6.86296875	0.4	1	4.3	0.2	0.9	86.6	40.3	148.5
680	ID_15	0011-1657	42066	6.5728125	0.4	1	4.4	0.2	0.9	73.9	72.4	99.7
681	ID_15	0012-1673	40579	6.34046875	0.4	1	4.6	0.2	0.8	72.6	72.7	97.3
682	ID_15	0013-2212	45469	7.10453125	0.3	1	4.3	0.2	0.9	79.9	73.9	109.8
683	ID_15	0014-2248	43001	6.71890625	0.3	1	4.1	0.2	0.8	91.7	42.7	148.1
684	ID_15	0015-2266	44506	6.9540625	0.4	1	4.2	0.2	0.8	78.3	76.7	106.9
685	ID_15	0016-2303	41318	6.4559375	0.3	1	3.9	0.3	0.8	86.1	40.8	145.5
718	ID_16	0001-0675	9893	1.54578125	0.6	1	1	1	0.9	66.1	23.1	166.5
719	ID_16	0002-0685	9923	1.55046875	0.7	1	1	1	1	34.4	26.1	55.4
720	ID_16	0003-0740	9553	1.49265625	0.6	1	1	1	1	65.1	22.3	166.2
721	ID_16	0004-0742	9740	1.521875	0.7	1	1	1	1	140.4	26.2	170.1
722	ID_16	0005-0768	9790	1.5296875	0.6	1	1	1	0.9	69	24.6	164
723	ID_16	0006-0916	9747	1.52296875	0.8	1	1.1	1	1	149.4	24.3	178.7
724	ID_16	0007-0923	9649	1.50765625	0.8	1	1	1	1	63.6	22	165.2
725	ID_16	0008-0949	9772	1.526875	0.7	1	1	1	1	149.1	27.7	177.5
726	ID_16	0009-0958	9790	1.5296875	0.7	1	1	1	1	33.6	23.6	58.7
727	ID_16	0010-0986	9606	1.5009375	0.7	1	1	1	1	149.3	25.5	177.5
728	ID_16	0011-1090	9856	1.54	0.8	1	1	1	1	72.4	23.5	171.2
729	ID_16	0012-1095	9615	1.50234375	0.7	1	1	1	1	29.7	21.5	50.9
730	ID_16	0013-1136	9775	1.52734375	0.8	1	1	1	1	66.2	21	167.8
731	ID_16	0014-1164	9298	1.4528125	0.7	1	1	1	1	61.8	22.2	159.9
732	ID_16	0015-1180	9796	1.530625	0.7	1	1	1	1	67.7	23.2	165
733	ID_16	0016-1331	9584	1.4975	0.8	1	1	1	1	148.9	25.9	176.9
734	ID_16	0017-1343	9926	1.5509375	0.7	1	1	1	1	153.2	25.4	181.6
735	ID_16	0018-1372	9762	1.5253125	0.8	1	1.1	1	1	33.6	24.8	54.8
736	ID_16	0019-1389	9647	1.50734375	0.7	1	1.1	0.9	1	32.4	23.8	52.5
737	ID_16	0020-1391	9495	1.48359375	0.6	1	1	1	1	33.4	23.8	58.6
738	ID_16	0021-1547	9489	1.48265625	0.8	1	1	1	1	59.6	20	162
739	ID_16	0022-1576	9431	1.47359375	0.8	1	1	1	1	70.5	22.8	167.2
740	ID_16	0023-1579	9443	1.47546875	0.7	1	1	1	1	65.6	21.7	164
741	ID_16	0024-1590	9474	1.4803125	0.7	1	1	1	1	31.2	22.5	53.8
