 	ID	Label	Color	Area	cm2	Mean	StdDev	Mode	Min	Max	Circ.	Slice	AR	Round	Solidity	MinThr	MaxThr
87	ID_02	0007-1473	Blue	46849	7.32015625	22	16.4	4	0	85	0.5	3	3.7	0.3	0.9	0	255
88	ID_02	0008-1538	Blue	47657	7.44640625	24.6	16.4	7	0	88	0.4	3	3.4	0.3	0.9	0	255
89	ID_02	0009-2101	Blue	47539	7.42796875	25.7	16.4	13	2	84	0.5	3	3.7	0.3	1	0	255
90	ID_02	0010-2125	Blue	49028	7.660625	26	15.5	16	2	83	0.5	3	3.3	0.3	1	0	255
91	ID_02	0011-2139	Blue	50027	7.81671875	30.4	13.9	34	0	87	0.5	3	3.5	0.3	1	0	255
92	ID_02	0012-2141	Blue	47460	7.415625	26.3	14.6	18	1	81	0.5	3	3.5	0.3	1	0	255
93	ID_02	0013-2688	Blue	46982	7.3409375	30	13.5	21	4	148	0.5	3	3.5	0.3	1	0	255
94	ID_02	0014-2755	Blue	50055	7.82109375	28.5	13.9	31	2	88	0.5	3	3.4	0.3	1	0	255
95	ID_02	0015-2766	Blue	51764	8.088125	21.9	15.7	8	1	115	0.4	3	3.4	0.3	0.9	0	255
96	ID_02	0016-2778	Blue	51711	8.07984375	24.2	14.2	11	4	91	0.5	3	3.5	0.3	0.9	0	255
97	ID_03	0001-0905	Red	18794	2.9365625	102.1	14.3	94	67	165	0.7	1	1	1	1	0	255
98	ID_03	0002-0907	Red	17932	2.801875	103.5	13.3	97	71	163	0.8	1	1	1	1	0	255
99	ID_03	0003-0967	Red	18124	2.831875	103.4	14	103	69	159	0.7	1	1.1	0.9	1	0	255
100	ID_03	0004-0967	Red	18988	2.966875	102.1	14.5	89	71	158	0.8	1	1	1	1	0	255
101	ID_03	0005-0987	Red	18227	2.84796875	98.8	13.7	93	67	165	0.6	1	1.1	0.9	1	0	255
102	ID_03	0006-1280	Red	18680	2.91875	97.3	14.8	89	24	160	0.7	1	1	1	0.9	0	255
103	ID_03	0007-1284	Red	17124	2.675625	19.6	16.3	14	1	118	0.8	1	1.3	0.8	1	0	255
104	ID_03	0008-1306	Red	18342	2.8659375	19.8	17.9	7	1	116	0.7	1	1.1	0.9	1	0	255
105	ID_03	0009-1316	Red	19300	3.015625	22.8	23.8	7	3	129	0.7	1	1.1	0.9	1	0	255
106	ID_03	0010-1342	Red	18832	2.9425	98.4	13	93	69	180	0.7	1	1.1	0.9	1	0	255
107	ID_03	0012-1620	Red	17900	2.796875	19.5	15.5	16	1	117	0.8	1	1.1	0.9	1	0	255
108	ID_03	0013-1629	Red	18084	2.825625	99.3	14.2	99	64	154	0.7	1	1.3	0.8	1	0	255
109	ID_03	0014-1673	Red	18122	2.8315625	19.7	18.1	10	2	119	0.7	1	1	1	1	0	255
110	ID_03	0015-1679	Red	18317	2.86203125	99.1	12.9	102	68	159	0.6	1	1	1	1	0	255
111	ID_03	0016-1679	Red	18178	2.8403125	96.3	12.3	87	67	157	0.7	1	1.1	0.9	1	0	255
112	ID_03	0017-1942	Red	18261	2.85328125	23	23.3	14	2	119	0.7	1	1.1	0.9	1	0	255
113	ID_03	0018-1975	Red	18393	2.87390625	102.7	11.9	97	67	168	0.8	1	1	1	1	0	255
114	ID_03	0019-2025	Red	19144	2.99125	99	12.5	98	66	166	0.7	1	1	1	1	0	255
115	ID_03	0020-2034	Red	19677	3.07453125	101.1	13	105	68	160	0.7	1	1	1	1	0	255
116	ID_03	0021-2032	Red	17362	2.7128125	100.8	11.7	95	68	151	0.8	1	1.3	0.7	1	0	255
117	ID_03	0001-0905	Green	18794	2.9365625	19.9	14.5	15	0	101	0.7	2	1	1	1	0	255
118	ID_03	0002-0907	Green	17932	2.801875	20	14.1	14	0	90	0.8	2	1	1	1	0	255
119	ID_03	0003-0967	Green	18124	2.831875	21	14.8	14	0	92	0.7	2	1.1	0.9	1	0	255
120	ID_03	0004-0967	Green	18988	2.966875	21.9	16.1	13	0	92	0.8	2	1	1	1	0	255
121	ID_03	0005-0987	Green	18227	2.84796875	20.8	16	13	0	90	0.6	2	1.1	0.9	1	0	255
122	ID_03	0006-1280	Green	18680	2.91875	19.8	14.6	13	0	91	0.7	2	1	1	0.9	0	255
123	ID_03	0007-1284	Green	17124	2.675625	16.1	13.1	12	1	98	0.8	2	1.3	0.8	1	0	255
124	ID_03	0008-1306	Green	18342	2.8659375	16.5	14.8	12	1	100	0.7	2	1.1	0.9	1	0	255
125	ID_03	0009-1316	Green	19300	3.015625	18.2	18.3	9	2	97	0.7	2	1.1	0.9	1	0	255
126	ID_03	0010-1342	Green	18832	2.9425	20.1	15.8	14	0	95	0.7	2	1.1	0.9	1	0	255
127	ID_03	0012-1620	Green	17900	2.796875	16.2	12.9	13	1	98	0.8	2	1.1	0.9	1	0	255
128	ID_03	0013-1629	Green	18084	2.825625	21.1	16.3	12	0	92	0.7	2	1.3	0.8	1	0	255
129	ID_03	0014-1673	Green	18122	2.8315625	16.6	15.1	10	2	105	0.7	2	1	1	1	0	255
130	ID_03	0015-1679	Green	18317	2.86203125	20.7	15.8	13	0	92	0.6	2	1	1	1	0	255
131	ID_03	0016-1679	Green	18178	2.8403125	20.2	15.1	15	0	101	0.7	2	1.1	0.9	1	0	255
132	ID_03	0017-1942	Green	18261	2.85328125	19.2	18.7	11	2	96	0.7	2	1.1	0.9	1	0	255
133	ID_03	0018-1975	Green	18393	2.87390625	20.7	12.4	17	0	89	0.8	2	1	1	1	0	255
134	ID_03	0019-2025	Green	19144	2.99125	22.6	15.3	17	0	93	0.7	2	1	1	1	0	255
135	ID_03	0020-2034	Green	19677	3.07453125	21.4	13.9	17	0	90	0.7	2	1	1	1	0	255
136	ID_03	0021-2032	Green	17362	2.7128125	20.9	13	17	1	92	0.8	2	1.3	0.7	1	0	255
137	ID_03	0001-0905	Blue	18794	2.9365625	11.9	11.7	0	0	88	0.7	3	1	1	1	0	255
138	ID_03	0002-0907	Blue	17932	2.801875	11.8	11.1	7	0	76	0.8	3	1	1	1	0	255
139	ID_03	0003-0967	Blue	18124	2.831875	12.5	11.8	7	0	78	0.7	3	1.1	0.9	1	0	255
140	ID_03	0004-0967	Blue	18988	2.966875	12.9	12.5	8	0	76	0.8	3	1	1	1	0	255
141	ID_03	0005-0987	Blue	18227	2.84796875	12.5	12.4	8	0	75	0.6	3	1.1	0.9	1	0	255
142	ID_03	0006-1280	Blue	18680	2.91875	11.3	11.6	6	0	74	0.7	3	1	1	0.9	0	255
143	ID_03	0007-1284	Blue	17124	2.675625	13.2	10.3	10	0	89	0.8	3	1.3	0.8	1	0	255
144	ID_03	0008-1306	Blue	18342	2.8659375	13.5	11.7	8	0	86	0.7	3	1.1	0.9	1	0	255
145	ID_03	0009-1316	Blue	19300	3.015625	14.4	13.8	6	0	88	0.7	3	1.1	0.9	1	0	255
146	ID_03	0010-1342	Blue	18832	2.9425	11.5	12.3	0	0	75	0.7	3	1.1	0.9	1	0	255
147	ID_03	0012-1620	Blue	17900	2.796875	13.3	10.6	11	0	89	0.8	3	1.1	0.9	1	0	255
148	ID_03	0013-1629	Blue	18084	2.825625	12.2	12.5	5	0	74	0.7	3	1.3	0.8	1	0	255
149	ID_03	0014-1673	Blue	18122	2.8315625	13.2	11.9	8	0	94	0.7	3	1	1	1	0	255
150	ID_03	0015-1679	Blue	18317	2.86203125	11.7	12.3	7	0	72	0.6	3	1	1	1	0	255
151	ID_03	0016-1679	Blue	18178	2.8403125	11.7	11.9	8	0	81	0.7	3	1.1	0.9	1	0	255
152	ID_03	0017-1942	Blue	18261	2.85328125	15	13.9	9	0	88	0.7	3	1.1	0.9	1	0	255
153	ID_03	0018-1975	Blue	18393	2.87390625	11.4	10.1	0	0	74	0.8	3	1	1	1	0	255
154	ID_03	0019-2025	Blue	19144	2.99125	13.1	11.9	10	0	70	0.7	3	1	1	1	0	255
155	ID_03	0020-2034	Blue	19677	3.07453125	12.5	11.1	10	0	71	0.7	3	1	1	1	0	255
156	ID_03	0021-2032	Blue	17362	2.7128125	11.9	10.5	9	0	74	0.8	3	1.3	0.7	1	0	255
157	ID_04	0001-1140	Red	28645	4.47578125	149.2	20.9	150	86	199	0.7	1	1.8	0.6	1	0	255
158	ID_04	0002-1150	Red	28461	4.44703125	157.2	22	175	92	204	0.7	1	1.7	0.6	1	0	255
159	ID_04	0003-1173	Red	28246	4.4134375	151.1	20.4	146	90	203	0.7	1	1.7	0.6	1	0	255
160	ID_04	0004-1697	Red	28526	4.4571875	153	21.2	162	100	208	0.7	1	1.7	0.6	1	0	255
161	ID_04	0005-1713	Red	29007	4.53234375	151.9	19.6	165	96	196	0.7	1	1.8	0.6	1	0	255
162	ID_04	0006-1744	Red	25820	4.034375	150.6	20.9	168	94	193	0.7	1	1.7	0.6	0.9	0	255
